cluster,n_cluster,imaging,diagnosis,n_positive,pct_cluster,pct_rest,odds_ratio,p_value,p_corrected,significant,stars
0,20,"{'mri': 16, 'ct': 4}",alzheimer,9,45.0,1.5,52.85,4.227687306960783e-36,4.735009783796077e-34,True,***
1,23,"{'mri': 20, 'ct': 3}",anxiety,20,87.0,18.5,25.72,2.4085686747689847e-15,2.6975969157412627e-13,True,***
1,23,"{'mri': 20, 'ct': 3}",dementia,7,30.4,2.8,15.65,9.500948967781446e-12,1.0641062843915219e-09,True,***
1,23,"{'mri': 20, 'ct': 3}",depression,18,78.3,39.3,5.19,0.0003617264466283578,0.04051336202237608,True,*
2,24,"{'mri': 14, 'ct': 10}",schizophrenia,6,25.0,3.6,9.27,1.8043989825636735e-06,0.00020209268604713142,True,***
7,39,"{'mri': 34, 'ct': 3}",bipolar,23,59.0,26.4,3.97,1.555224410651276e-05,0.0017418513399294292,True,**
7,39,"{'mri': 34, 'ct': 3}",depression,4,10.3,40.9,0.18,0.00023479129425734208,0.026296624956822313,True,*
8,109,"{'mri': 79, 'ct': 30}",bipolar,72,66.1,23.9,6.14,8.306792458295523e-21,9.303607553290986e-19,True,***
8,109,"{'mri': 79, 'ct': 30}",depression,15,13.8,42.3,0.22,1.03969685236953e-08,1.1644604746538737e-06,True,***
9,61,"{'pet': 21, 'spect': 17}",dementia,15,24.6,2.2,14.25,2.5346244110728813e-20,2.838779340401627e-18,True,***
9,61,"{'pet': 21, 'spect': 17}",depression,43,70.5,38.5,3.75,1.2566256565865888e-06,0.00014074207353769795,True,***
9,61,"{'pet': 21, 'spect': 17}",ptsd,3,4.9,0.2,22.01,1.1204299275395655e-05,0.0012548815188443134,True,**
9,61,"{'pet': 21, 'spect': 17}",bipolar,3,4.9,28.4,0.15,0.00010870820216944079,0.012175318642977368,True,*
9,61,"{'pet': 21, 'spect': 17}",alzheimer,6,9.8,1.8,6.32,0.00015146706235069413,0.01696431098327774,True,*
16,42,"{'mri': 26, 'ct': 13}",bipolar,25,59.5,26.3,4.08,4.5687089322301835e-06,0.0005116954004097806,True,***
17,89,"{'mri': 78, 'ct': 10}",psychosis,31,34.8,6.8,7.32,6.229449090277732e-19,6.97698298111106e-17,True,***
17,89,"{'mri': 78, 'ct': 10}",suicide,21,23.6,6.3,4.67,5.605645172902013e-09,6.278322593650254e-07,True,***
17,89,"{'mri': 78, 'ct': 10}",schizophrenia,11,12.4,3.4,4.11,0.00010148599282829555,0.0113664311967691,True,*
17,89,"{'mri': 78, 'ct': 10}",anxiety,31,34.8,18.6,2.35,0.00034486053348350683,0.03862437975015277,True,*
19,76,"{'mri': 72, 'ct': 4}",psychosis,23,30.3,7.4,5.49,2.3426295829703507e-11,2.6237451329267927e-09,True,***
