cluster,n_cluster,imaging,diagnosis,n_positive,pct_cluster,pct_rest,odds_ratio,p_value,p_corrected,significant,stars
0,20,"{'mri': 16, 'ct': 4}",alzheimer,9,45.0,1.5,52.85,4.227687306960783e-36,4.735009783796077e-34,True,***
0,20,"{'mri': 16, 'ct': 4}",psychosis,1,5.0,8.7,0.8,0.8525462440825792,1.0,False,ns
0,20,"{'mri': 16, 'ct': 4}",anxiety,8,40.0,19.4,2.82,0.043582772671512775,1.0,False,ns
0,20,"{'mri': 16, 'ct': 4}",dementia,1,5.0,3.2,2.28,1.0,1.0,False,ns
1,23,"{'mri': 20, 'ct': 3}",anxiety,20,87.0,18.5,25.72,2.4085686747689847e-15,2.6975969157412627e-13,True,***
1,23,"{'mri': 20, 'ct': 3}",dementia,7,30.4,2.8,15.65,9.500948967781446e-12,1.0641062843915219e-09,True,***
1,23,"{'mri': 20, 'ct': 3}",depression,18,78.3,39.3,5.19,0.0003617264466283578,0.04051336202237608,True,*
1,23,"{'mri': 20, 'ct': 3}",psychosis,3,13.0,8.6,1.81,0.7039641507807413,1.0,False,ns
2,24,"{'mri': 14, 'ct': 10}",schizophrenia,6,25.0,3.6,9.27,1.8043989825636735e-06,0.00020209268604713142,True,***
2,24,"{'mri': 14, 'ct': 10}",psychosis,7,29.2,8.3,4.72,0.0012040823245722265,0.13485722035208936,False,ns
2,24,"{'mri': 14, 'ct': 10}",depression,11,45.8,39.9,1.28,0.7028986995852,1.0,False,ns
3,42,"{'mri': 32, 'pet': 8}",anxiety,17,40.5,19.0,2.92,0.0011761073220830937,0.1317240200733065,False,ns
3,42,"{'mri': 32, 'pet': 8}",depression,22,52.4,39.6,1.68,0.13153204319058162,1.0,False,ns
3,42,"{'mri': 32, 'pet': 8}",bipolar,4,9.5,27.9,0.3,0.014178499479807235,1.0,False,ns
3,42,"{'mri': 32, 'pet': 8}",psychosis,5,11.9,8.6,1.56,0.6306346378311416,1.0,False,ns
3,42,"{'mri': 32, 'pet': 8}",suicide,4,9.5,7.3,1.47,0.8148034850711774,1.0,False,ns
3,42,"{'mri': 32, 'pet': 8}",dementia,1,2.4,3.3,1.05,1.0,1.0,False,ns
4,34,"{'x_ray': 26, 'ct': 7}",depression,20,58.8,39.5,2.17,0.03610597065848242,1.0,False,ns
4,34,"{'x_ray': 26, 'ct': 7}",bipolar,3,8.8,27.8,0.29,0.024085209979291512,1.0,False,ns
4,34,"{'x_ray': 26, 'ct': 7}",anxiety,11,32.4,19.4,2.04,0.09643723846636142,1.0,False,ns
5,21,"{'mri': 20, 'ct': 1}",depression,14,66.7,39.5,2.95,0.0218676131738845,1.0,False,ns
5,21,"{'mri': 20, 'ct': 1}",bipolar,6,28.6,27.3,1.12,1.0,1.0,False,ns
5,21,"{'mri': 20, 'ct': 1}",anxiety,5,23.8,19.6,1.36,0.8398904299461436,1.0,False,ns
6,28,"{'mri': 13, 'ct': 8}",depression,10,35.7,40.1,0.85,0.7874102723488385,1.0,False,ns
6,28,"{'mri': 13, 'ct': 8}",bipolar,5,17.9,27.5,0.62,0.3573130920035572,1.0,False,ns
6,28,"{'mri': 13, 'ct': 8}",schizophrenia,1,3.6,4.0,1.3,1.0,1.0,False,ns
6,28,"{'mri': 13, 'ct': 8}",anxiety,5,17.9,19.7,0.95,0.9950364962037996,1.0,False,ns
6,28,"{'mri': 13, 'ct': 8}",ptsd,1,3.6,0.4,13.08,0.2806469035117604,1.0,False,ns
7,39,"{'mri': 34, 'ct': 3}",bipolar,23,59.0,26.4,3.97,1.555224410651276e-05,0.0017418513399294292,True,**
7,39,"{'mri': 34, 'ct': 3}",depression,4,10.3,40.9,0.18,0.00023479129425734208,0.026296624956822313,True,*
7,39,"{'mri': 34, 'ct': 3}",psychosis,3,7.7,8.7,1.0,1.0,1.0,False,ns
7,39,"{'mri': 34, 'ct': 3}",anxiety,6,15.4,19.8,0.78,0.6300383346870779,1.0,False,ns
8,109,"{'mri': 79, 'ct': 30}",bipolar,72,66.1,23.9,6.14,8.306792458295523e-21,9.303607553290986e-19,True,***
8,109,"{'mri': 79, 'ct': 30}",depression,15,13.8,42.3,0.22,1.03969685236953e-08,1.1644604746538737e-06,True,***
8,109,"{'mri': 79, 'ct': 30}",anxiety,7,6.4,20.9,0.28,0.0004526612785574743,0.05069806319843712,False,ns
8,109,"{'mri': 79, 'ct': 30}",psychosis,1,0.9,9.3,0.13,0.004801194499524379,0.5377337839467304,False,ns
8,109,"{'mri': 79, 'ct': 30}",schizophrenia,3,2.8,4.1,0.76,0.6621651099302739,1.0,False,ns
8,109,"{'mri': 79, 'ct': 30}",alzheimer,1,0.9,2.3,0.59,0.5627107493995955,1.0,False,ns
9,61,"{'pet': 21, 'spect': 17}",dementia,15,24.6,2.2,14.25,2.5346244110728813e-20,2.838779340401627e-18,True,***
9,61,"{'pet': 21, 'spect': 17}",depression,43,70.5,38.5,3.75,1.2566256565865888e-06,0.00014074207353769795,True,***
9,61,"{'pet': 21, 'spect': 17}",ptsd,3,4.9,0.2,22.01,1.1204299275395655e-05,0.0012548815188443134,True,**
9,61,"{'pet': 21, 'spect': 17}",bipolar,3,4.9,28.4,0.15,0.00010870820216944079,0.012175318642977368,True,*
9,61,"{'pet': 21, 'spect': 17}",alzheimer,6,9.8,1.8,6.32,0.00015146706235069413,0.01696431098327774,True,*
9,61,"{'pet': 21, 'spect': 17}",schizophrenia,1,1.6,4.1,0.57,0.5302981394271165,1.0,False,ns
9,61,"{'pet': 21, 'spect': 17}",psychosis,11,18.0,8.2,2.53,0.015073705665288728,1.0,False,ns
9,61,"{'pet': 21, 'spect': 17}",anxiety,14,23.0,19.5,1.26,0.6235330962053438,1.0,False,ns
9,61,"{'pet': 21, 'spect': 17}",ocd,2,3.3,1.6,2.6,0.5999123184162075,1.0,False,ns
9,61,"{'pet': 21, 'spect': 17}",suicide,5,8.2,7.4,1.22,1.0,1.0,False,ns
10,54,"{'ct': 29, 'mri': 16}",suicide,11,20.4,6.9,3.57,0.0005609241539862918,0.06282350524646468,False,ns
10,54,"{'ct': 29, 'mri': 16}",anxiety,20,37.0,19.0,2.53,0.0019530720924012502,0.21874407434894003,False,ns
10,54,"{'ct': 29, 'mri': 16}",depression,27,50.0,39.6,1.53,0.16335937998286612,1.0,False,ns
10,54,"{'ct': 29, 'mri': 16}",bipolar,16,29.6,27.2,1.15,0.8149313988184371,1.0,False,ns
11,25,"{'mri': 22, 'ct': 3}",depression,10,40.0,40.0,1.02,1.0,1.0,False,ns
11,25,"{'mri': 22, 'ct': 3}",bipolar,7,28.0,27.3,1.08,1.0,1.0,False,ns
12,35,"{'ct': 27, 'mri': 4}",depression,16,45.7,39.8,1.28,0.597447794803678,1.0,False,ns
12,35,"{'ct': 27, 'mri': 4}",bipolar,11,31.4,27.2,1.25,0.7177486308687333,1.0,False,ns
12,35,"{'ct': 27, 'mri': 4}",anxiety,1,2.9,20.1,0.17,0.020236410849542474,1.0,False,ns
12,35,"{'ct': 27, 'mri': 4}",ocd,1,2.9,1.6,2.62,1.0,1.0,False,ns
12,35,"{'ct': 27, 'mri': 4}",suicide,2,5.7,7.4,0.92,0.9527002776040848,1.0,False,ns
